Property ID|Property|owner_id|comp_id|Owner|owner_publish|Symbol|pctOwner
4245|Concourse Village|22|22|Site Centers|Site Centers (SITC)|SITC|0.05
4246|Southmont Plaza|22|22|Site Centers|Site Centers (SITC)|SITC|0.05
4247|Guilford Commons|22|22|Site Centers|Site Centers (SITC)|SITC|1
4249|Springfield Center|22|22|Site Centers|Site Centers (SITC)|SITC|1
4250|Chapel Hills|22|22|Site Centers|Site Centers (SITC)|SITC|1
4251|Bird 107 Plaza|76|76|Regency Centers|Regency Centers (REG)|REG|1
4252|Copperfield Village|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4255|Rock Prairie Marketplace|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4257|Gotham Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.49
4259|Restaurants at Fort Point|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4261|The Point at Garden City Park|76|76|Regency Centers|Regency Centers (REG)|REG|1
4262|Magnolia Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4263|Casitas Plaza Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4264|Shoppes at Hagerstown|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4265|Merrifield Town Center II|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4266|Oak Brook Promenade|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4267|2200 Westlake|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|0.693
4269|Market Common Clarendon|76|76|Regency Centers|Regency Centers (REG)|REG|1
4270|Walmart Norwalk|76|76|Regency Centers|Regency Centers (REG)|REG|1
4271|Bouquet Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4272|North Ranch Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4273|The Shoppes At Union Hill|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4274|Tacoma South|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4275|Eastside|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4276|Deerfield|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4277|165 Newbury Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4278|Lee Vista Promenade|22|22|Site Centers|Site Centers (SITC)|SITC|1
4281|Monterey Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4282|Rose City Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4283|Kentlands Market Square|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4284|Coral Way Plaza|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|0.25
4285|The Palms at Town & County|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4286|Scottsdale Waterfront|101|101|Weingarten Realty|Weingarten Realty (WRI)|WRI|1
4287|Sullivan Center|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4288|State and Washington|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4289|151 N. State Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4290|North and Kingsbury|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4291|Concord and Milwaukee|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4292|California and Armitage|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4293|Klahanie Shopping Center|76|76|Regency Centers|Regency Centers (REG)|REG|1
4294|Whole Foods at Wynnewood|48|48|Kimco Realty|Kimco Realty (KIM)|KIM|1
4295|Felicita Town Center|245|245|Brixmor|Brixmor (BRX)|BRX|1
4296|Plaza Venezia|76|76|Regency Centers|Regency Centers (REG)|REG|0.2
4297|One Loudoun Downtown|235|235|Retail Properties of America|Retail Properties of America (RPAI)|RPAI|1
4298|555 9th Street|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|1
4299|The Knolls|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4300|Bridle Trails Shopping Center|195|195|Retail Opportunity Investments Corp|Retail Opportunity Investments Corp (ROIC)|ROIC|1
4301|San Carlos Marketplace|76|76|Regency Centers|Regency Centers (REG)|REG|1
4303|Airport Mall|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
4304|Wells Plaza|216|216|Acadia Realty Trust|Acadia Realty Trust (AKR)|AKR|0.231
