sector_id|market_id|Sector|Market|Distance to CBD|Commute Time|Median Household Income|Distance to Interstate|Sum of Interstates|Distance to Air / Rail|Population Density|Unemployment Rate|Distance to Seaport|500-Mile Population Ring|% College Degree|Median Home Age|Grade|Housing Affordability|Median Home Price|Grade Rank|% Office Establishments|Fiscal Health|Supply Barriers|Desirability Index|Cost of Living|Spending Power
11|168|Strip Center|Denver|10.18804205|27.65535815|88|3.12184117|127.55104402|11.45826822|2180|0.06992538|877.66900804||0.44114996|36.65233101|A-|Expensive|370|18|0.31556208|Stable|Average|73.26398629|55300|Average
11|169|Strip Center|Detroit|19.65970783|26.7527488|51|2.76004081|263.39670131|12.57788291|1590|0.06691607|429.30990408||0.34627206|39.41237908|C+|Cheap|200|49|0.22267284|Stable|Very Low|36.49440767|47100|Very Low
11|172|Strip Center|Fort Lauderdale|9.62965166|28.88932206|64|2.85621923|54.91586167|7.3146293|4520|0.05267581|21.13085772||0.32867157|40.71764334|B+|Cheap|270|31|0.29617327|Stable|Low|69.18560332|46200|Very Low
11|177|Strip Center|Houston|16.02570524|30.52340764|71|4.89327257|161.10820397|8.42343332|2300|0.08251185|16.85055801||0.35452595|34.39248703|B+|Neutral|220|30|0.27409588|Stable|Very Low|59.9796319|51600|Low
11|178|Strip Center|Indianapolis|9.67780595|24.06586376|66|1.98391522|132.36728268|8.82423604|1790|0.04628863|601.31680029||0.38820125|35.44715476|B|Very Cheap|180|45|0.2659431|Stable|Very Low|49.20023685|45500|Average
11|179|Strip Center|Jacksonville|9.45639762|25.65516276|71|3.70588677|95.43774245|10.59397389|1160|0.04377075|12.28249218||0.31480236|37.230994|B+|Very Cheap|200|32|0.26493844|Stable|Very Low|64.50317443|41600|Low
11|180|Strip Center|Kansas City|12.43749246|22.5280387|72|2.09013217|237.56668898|11.99545525|1070|0.05164067|642.22695359||0.40439069|37.4074938|C+|Cheap|200|47|0.26744238|Healthy|Very Low|40.58150037|49400|Very Low
11|182|Strip Center|Las Vegas|7.67157191|25.15430373|62|3.43895229|53.12638162|6.24368747|3840|0.09919632|239.34833979||0.23674725|37.6025757|B+|Very Cheap|240|33|0.28867338|Stable|Very Low|79.8892494|43000|Low
11|185|Strip Center|Long Island|25.38325319|35.09103128|122|4.85988143|55.83710374|20.41632244|2400|0.06367726|26.46000971||0.41705102|42.06843338|A-|Expensive|480|15|0.22977182|Stable|Average|48.37002492|77700|Very High
11|186|Strip Center|Los Angeles|11.80013889|31.94174559|77|2.11068947|281.08559712|6.2636429|5270|0.12740003|22.83234016||0.33749562|37.16704466|A|Very Expensive|650|4|0.24450113|Stable|Very High|53.97039306|57300|Very High
