sector_id|market_id|Month|Sector|Market|All Employees: Non Farm NSA (K)
100|1|01/07/2009|GSA Universe|U.S.|131934
100|1|01/08/2009|GSA Universe|U.S.|130336
100|1|01/09/2009|GSA Universe|U.S.|130215
100|1|01/10/2009|GSA Universe|U.S.|130573
100|1|01/11/2009|GSA Universe|U.S.|131172
100|1|01/12/2009|GSA Universe|U.S.|131220
100|1|01/01/2010|GSA Universe|U.S.|130673
100|1|01/02/2010|GSA Universe|U.S.|127804
100|1|01/03/2010|GSA Universe|U.S.|128239
100|1|01/04/2010|GSA Universe|U.S.|129073
100|1|01/05/2010|GSA Universe|U.S.|130196
100|1|01/06/2010|GSA Universe|U.S.|131314
100|1|01/07/2010|GSA Universe|U.S.|131432
100|1|01/08/2010|GSA Universe|U.S.|130094
100|1|01/09/2010|GSA Universe|U.S.|130158
100|1|01/10/2010|GSA Universe|U.S.|130652
100|1|01/11/2010|GSA Universe|U.S.|131624
100|1|01/12/2010|GSA Universe|U.S.|131930
100|1|01/01/2011|GSA Universe|U.S.|131624
100|1|01/02/2011|GSA Universe|U.S.|128761
100|1|01/03/2011|GSA Universe|U.S.|129575
100|1|01/04/2011|GSA Universe|U.S.|130481
100|1|01/05/2011|GSA Universe|U.S.|131698
100|1|01/06/2011|GSA Universe|U.S.|132382
100|1|01/07/2011|GSA Universe|U.S.|132871
100|1|01/08/2011|GSA Universe|U.S.|131597
100|1|01/09/2011|GSA Universe|U.S.|131872
100|1|01/10/2011|GSA Universe|U.S.|132618
100|1|01/11/2011|GSA Universe|U.S.|133541
100|1|01/12/2011|GSA Universe|U.S.|133876
100|1|01/01/2012|GSA Universe|U.S.|133701
100|1|01/02/2012|GSA Universe|U.S.|131095
100|1|01/03/2012|GSA Universe|U.S.|132049
100|1|01/04/2012|GSA Universe|U.S.|132953
100|1|01/05/2012|GSA Universe|U.S.|133836
100|1|01/06/2012|GSA Universe|U.S.|134650
100|1|01/07/2012|GSA Universe|U.S.|134987
100|1|01/08/2012|GSA Universe|U.S.|133778
100|1|01/09/2012|GSA Universe|U.S.|134157
100|1|01/10/2012|GSA Universe|U.S.|134785
100|1|01/11/2012|GSA Universe|U.S.|135632
100|1|01/12/2012|GSA Universe|U.S.|136021
100|1|01/01/2013|GSA Universe|U.S.|135946
100|1|01/02/2013|GSA Universe|U.S.|133064
100|1|01/03/2013|GSA Universe|U.S.|134102
100|1|01/04/2013|GSA Universe|U.S.|134901
100|1|01/05/2013|GSA Universe|U.S.|135906
100|1|01/06/2013|GSA Universe|U.S.|136799
100|1|01/07/2013|GSA Universe|U.S.|137208
100|1|01/08/2013|GSA Universe|U.S.|136034
100|1|01/09/2013|GSA Universe|U.S.|136471
100|1|01/10/2013|GSA Universe|U.S.|137079
100|1|01/11/2013|GSA Universe|U.S.|138001
100|1|01/12/2013|GSA Universe|U.S.|138526
100|1|01/01/2014|GSA Universe|U.S.|138275
100|1|01/02/2014|GSA Universe|U.S.|135471
100|1|01/03/2014|GSA Universe|U.S.|136211
