tranche_id|deal_id|benchmark_id|currency_id|order_id|rate_type_id|rate_type_benchmark_id|flag_abs_clo_cre|Maturity Date|Benchmark|Currency|Rate Type|Benchmark Rate Type|Class Amount ($M)|Denomination Amount|Notional Amount ($M)|Coupon|Average Life (Years)|Price|Spread|% Subordination|Tranche Class|Yield
166|20193022|2|158|1|1|1|0|26/01/2024|1 mo. Libor|US Dollar|Floating|floating|500|||48|1.97|100|48|0.08|A|
166|20195023|11|158|6|1|1|1|25/01/2032|3 mo. Libor|US Dollar|Floating|floating|27.9|||575|||668|0.101|E|
167|20193022|20|158|2|2|2|0|26/01/2024|EDSF|US Dollar|Fixed|fixed|27.174|||0.03522|1.97|100|95|0.03|B|0.03547
167|20195023||158|7|1||1|25/01/2032||US Dollar|Floating||48.5|||||||0|Sub|
168|20193022|20|158|3|2|2|0|26/01/2024|EDSF|US Dollar|Fixed|fixed|16.305|||0.03915|1.97|100|135|0|C|0.03947
168|20195024|11|158|1|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|288.25|||131|6|100|131|0.424|A-1|
169|20193023|20|158|1|2|2|0|26/01/2024|EDSF|US Dollar|Fixed|fixed|750|||0.03038|1.97|100|46|0.08|A|0.03057
169|20195024|11|158|3|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|27.5|||175|8|100|175|0.245|B-1|
170|20193023|20|158|2|2|2|0|26/01/2024|EDSF|US Dollar|Fixed|fixed|40.761|||0.03547|1.97|100|95|0.03|B|0.03547
170|20195024|11|158|2|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|36.75|||160|7.4|100|160|0.35|A-2|
171|20193023|20|158|3|2|2|0|26/01/2024|EDSF|US Dollar|Fixed|fixed|24.457|||0.03915|1.97|100|135|0|C|0.03947
171|20195024|23|158|4|2|2|1|18/01/2031|Int. Swaps|US Dollar|Fixed|fixed|25|||0.04405|8|||0.245|B-2|
172|20193024|20|158|1|2|2|0|15/09/2022|EDSF|US Dollar|Fixed|fixed|181.13|||0.0308|0.7|99.9945|43|0.6125|A|0.03108
172|20195024|11|158|5|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|28.75|||255|8.8|100|255|0.188|C|
173|20193024|20|158|2|2|2|0|17/04/2023|EDSF|US Dollar|Fixed|fixed|42.75|||0.0341|1.76|99.9904|78|0.5175|B|0.0344
173|20195024|11|158|6|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|30|||375|9.4|100|375|0.128|D|
174|20193024|23|158|3|2|2|0|15/11/2024|Int. Swaps|US Dollar|Fixed|fixed|58.5|||0.0361|2.34|99.9895|100|0.3875|C|0.03642
174|20195024|11|158|7|1|1|1|18/01/2031|3 mo. Libor|US Dollar|Floating|floating|17.5|||665|9.9|97|710|0.093|E|
175|20193024|23|158|4|2|2|0|15/11/2024|Int. Swaps|US Dollar|Fixed|fixed|56.25|||0.0387|3.12|99.9895|130|0.2625|D|0.03904
175|20195024||158|8|1||1|18/01/2031||US Dollar|Floating||48.3|||||||0|Sub|
