Property ID|grade_id|manager_id|market_id|state_id|type_id|Year Built|year_acquired|year_renovation|Grade|Manager|Market|Type|Property|Address|City|State|Zip|Latitude|Longitude|GLA Mall|GLA Shop|groundLease|HHI_10mi|levels|movie|NOI_estimate|Occupancy|population_10mi|Sales per SF|sales_SF_exApple|screens|Stores|superZipsServed_10mi|tap_score|Value|Nominal Cap Rate
72|12|289|189|10|1|1983|1999|2007|A++||Miami|Mall|Aventura Mall|19501 Biscayne Blvd|Aventura|FL|33180|25.956015|-80.146596|2127254|935871.75||57111.65594965|3|AMC Theatre|107.03372609|0.97|1111798|1738.75|1565|24|250|0|57.2|1942.86502237|0.05509067
73|8|16|1521|46|1|1986|1986|1999|B+||D.C. Metro|Mall|Ballston Quarter|4238 Wilson Blvd|Arlington|VA|22203|38.879844|-77.111432|578000|311100||111278.27357848|4|Regal Cinema|10.47706206|0.85785714|2008130|396.55|396.55|12|100|36|99|100.59679962|0.10414906
74|5|321|2|22|1|1978|2003|1998|C+||Other|Mall|Bangor Mall|663 Stillwater Ave|Bangor|ME|4401|44.832867|-68.751072|657412|295835.4||56332.86883945|1|Bangor Cinemas|7.066776|0.75571429|89736|343|343|10|80|0|15.7|38.05690029|0.18568974
75|10|54|151|44|1|1981||2003|A||Austin|Mall|Barton Creek Square|2901 S Capital of Texas Hwy.|Austin|TX|78746|30.256213|-97.810013|1452408|643554.9||85893.09996333|2|AAMC|32.01450944|0.982|798090|708.75|630|14|149|15|82.4|424.56170659|0.07540602
76|7|54|2|25|1|1970||2006|B||Other|Mall|Battlefield Mall|2825 S Glenstone Ave|Springfield|MO|65804|37.163403|-93.262968|1201828|540952.2||53322.68269903|1|none|11.81830767|0.915|291637|484.5|484.5||123|0|41.7|98.86758141|0.11953673
77|3|160|2|23|1|1991||2007|C-||Other|Mall|Bay City Mall|4101 East Wilder Road|Bay City|MI|48706|43.6238243|-83.8943151|522652|207001||53055.28021062|1|Goodrich Bay City 8|3.82932775|0.72|90741|264.6|264.6|8|81|0|9.2|14.64057109|0.2615559
78|5|54|2|49|1|1980||2003|C+||Other|Mall|Bay Park Square|303 Bay Park Square|Green Bay|WI|54304|44.485848|-88.06321|680542|325967.85||67018.51775145|1|marcus cinema|7.38014956|0.96|238635|328.3|328.3|16|94|0|44.3|39.74451939|0.18568974
79|7|17|2|5|1|1987||1989|B||Other|Mall|Bayshore Mall|3300 Broadway|Eureka|CA|95501|40.779753|-124.18652|585954|365510||53283.17041275|1|None|5|0.8138|71618|336.6|336.6||71|0|12.7|41.8281467|0.11953673
81|8|179|2|36|1|1970|||B+||Other|Mall|Belden Village|4230 Belden Village Mall|Canton|OH|44718|40.856237|-81.426285|827049|316860||61374.00136599|1|none|12|0.91785714|337045|499.55|499.55||122|0|49.4|115.21947551|0.10414906
83|7|17|2|48|1|1988||2003|B||Other|Mall|Bellis Fair|One Bellis Fair Parkway|Bellingham|WA|98226|48.785697|-122.490442|737070|398760||66871.76077702|1|Regal Bellis Fair Cinemas|13.42153625|0.8938|165058|377.4|377.4|6|129|0|26.8|112.27959744|0.11953673
84|10|61|197|32|5|1957|2003|2008|A||New Jersey (Northern)|Outlet Center|The Outlets at Bergen|2701 Bergen Mall|Paramus|NJ|7652|40.916554|-74.060486|1500000|410000||79389.65351958|2|None|29.6350879|0.94486957|2771059|630.7|630.7||80|20|94.9|461.24977559|0.06424954
85|11|58|186|5|1|1982|||A+||Los Angeles|Mall|Beverly Center|8500 Beverly Blvd.|Los Angeles|CA|90048|34.0759446|-118.3766084|834000|510000||77068.44485464|4|Mann Beverly Cinemas|37.75028846|0.95357895|3076092|968.64|865|13|125|14|95|615.46600077|0.06133611
86|10|35|205|4|1|1963|2003|2010|A||Phoenix|Mall|Biltmore Fashion Park|2502 East Camelback Rd.|Phoenix|AZ|85016|33.5095354|-112.0275918|597000|292000||63612.806981|1|none|12.6120869|0.931|1416521|714|714||58|1|84.2|167.25569851|0.07540602
88|5|17|2|23|1|1990||1997|C+||Other|Mall|Birchwood Mall|4350 24th Avenue|Fort Gratiot|MI|48059|43.0386111|-82.4769444|729014|302880||56220.59727399|1|Carmike|8.28800704|0.86571429|79831|313.6|313.6|10|86|0|23.8|44.63362892|0.18568974
89|9|17|2|14|1|1988||2008|A-||Other|Mall|Boise Towne Square|350 North Milwaukee|Boise|ID|83704|43.608367|-116.283808|1210018|422061||74139.00734278|2|none|15.55277443|0.92296667|456214|462.8|355||154|0|43.2|174.42141633|0.0891678
90|4|4|2|26|1|1997|1997|0|C||Other|Mall|Bonita Lakes Mall|1210 Bonita Lakes Circle|Meridian|MS|39301|32.358243|-88.669468|631923|154638|38|46356.74111281|1|United Artists|3.63448502|0.79816667|58004|249.9|249.9|9|81|0|0.2|16.54840651|0.21962749
91|3|17|182|34|1|1960|1998|1992|C-||Las Vegas|Mall|The Boulevard Mall|3528 South Maryland Parkway|Las Vegas|NV|89169|36.125482|-115.137013|1178517|389138||59231.27719827|1|none|4.50334977|0.67|1608664|147|147||133|0|33.5|17.21754229|0.2615559
92|5|16|2|35|1|1962|1996|2000|C+||Other|Mall|Boulevard Mall (NY)|730 Alberta Drive|Amherst|NY|14266|42.989259|-78.817387|916000|336000||62263.92466831|1|None|7.615649|0.78571429|685715|313.6|313.6||100|1|58.8|41.01276093|0.18568974
93|4|318|203|10|1|1985||2004|C||Palm Beach|Mall|Boynton Beach Mall|801 N. Congress Avenue|Boynton Beach|FL|33426|26.534756|-80.090852|1101881|495846.45||70452.13442603|1|Cinemark|12.65273377|0.77|691643|352.8|352.8|14|109|0|48.5|57.60997247|0.21962749
94|3|281|2|43|1|1991|||C-||Other|Mall|Bradley Square|200 Sgt. Paul Huff Parkway NW|Cleveland|TN|37312|35.2064499|-84.847925|406522|147838||56517.52638096|1|None|1.82159016|0.67|105625|171.5|171.5||51|0|32.6|6.96443917|0.2615559
95|9|62|225|10|1|1995|||A-||Tampa-St. Petersburg|Mall|Brandon|459 Brandon Town Center Mall|Brandon|FL|33511|27.93004|-82.3229|1160348.42|539440.82820182||66256.34276677|1|none|26.3638846|0.92296667|630651|598|515||180|1|51.1|295.66596695|0.0891678
96|6|17|2|7|1|1997|1997|0|B-||Other|Mall|Brass Mill Center|495 Union Street|Waterbury|CT|6706|41.551871|-73.035562|1170712|444775||74721.86464737|2|Regal Cinemas Brass Mill Center 12|14.44018856|0.95427083|329212|321.75|321.75|12|135|0|13.3|107.88981343|0.133842
97|10|54|201|5|1|1977|1998|1990|A||Orange County|Mall|Brea Mall|1065 Brea Mall|Brea|CA|92821|33.91323|-117.886233|1319214|593819.55||91630.28280703|2|none|42.40022899|0.935|1591446|913.5|670||159|2|84.4|562.2923448|0.07540602
98|10|54|169|23|1|1973|2007|2003|A||Detroit|Mall|Briarwood|100 Briarwood Circle|Ann Arbor|MI|48108|42.242663|-83.749114|977987|440402.4||82816.10954563|1|Briarwood Dollar Movies|11.83721732|0.989|305662|677.25|565|4|120|3|88.6|156.97973438|0.07540602
100|10|17|156|32|1|1988||2006|A||New Jersey (Central)|Mall|Bridgewater Commons|400 Commons Way|Bridgewater|NJ|8807|40.586941|-74.616693|1008657|411896||121399.24636124|3|AMC Theater|36.169619|0.98336667|377223|913.5|795|7|161|13|86|479.6648594|0.07540602
101|8|54|2|44|1|1975|1994|2008|B+||Other|Mall|Broadway Square|4601 S. Broadway|Tyler|TX|75703|32.30049|-95.300861|604870|282116.7||60225.56271363|1|none|9.56039208|0.988|175849|427.45|427.45||80|0|46.2|91.79528006|0.10414906
103|4|5|2|2|1|1974|1997|2001|C||Other|Mall|Colonial Brookwood Village|780 Brookwood Village|Birmingham|AL|35209|33.471961|-86.767659|604606|350000||70446.91628125|2|None|7.61721119|0.76816667|444320|313.6|313.6||66|5|95|34.68241213|0.21962749
104|5|318|156|32|1|1973||1999|C+||New Jersey (Central)|Mall|Brunswick Square|755 State Route 18|East Brunswick|NJ|8816|40.423637|-74.382274|760998|342449.1||98525.32629597|1|Brunswick Square Movies|7.348948|0.94|747488|347.9|347.9|13|94|1|82.1|39.5764888|0.18568974
105|6|123|201|5|1|1961|2004|1999|B-||Orange County|Mall|Buena Park Downtown|8308 On the Mall Beach Blvd|Buena Park|CA|90620|33.8439|-118.0111|1100000|535000||84134.60082365|1|Krikorian Metroplex|10.99245611|0.85427083|2330917|237.6|237.6|18|92|1|68.6|82.13009367|0.133842
107|11|54|154|20|1|1968|1998|2008|A+||Boston|Mall|Burlington Mall|75 Middlesex Turnpike|Burlington|MA|1803|42.475803|-71.213701|1138385|569171.25||110640.6862714|2|none|41.17488505|0.96|1070614|879.8|785||173|16|94.3|671.29928992|0.06133611
108|5|4|191|24|1|1977|1998||C+||Minneapolis|Mall|Burnsville Center|1178 Burnsville Center|Burnsville|MN|55306|44.74473|-93.284275|1045053|389248||96841.70898077|3|Cinemagic Theater|10.757365|0.82|530260|276|276|15|161|0|68.6|57.93192924|0.18568974
109|4|17|2|45|1|1978||2004|C||Other|Mall|Cache Valley Mall|1300 North Main Street|Logan|UT|84341|41.755345|-111.834215|346161|236685||65362.44449412|1|Westates Theatres University Stadium 6|3.92851187|0.81816667|118069|220.5|220.5|6|1|0|35.9|17.88715901|0.21962749
112|7|44|2|39|1|1974|2003|2005|B||Other|Mall|Capital City Mall|3506 Capital City Mall Drive|Camp Hill|PA|17011|40.222153|-76.930895|616750|174815||70490.78567572|1|none|8.746522|0.993|351170|453|453||85|0|56.2|73.17016106|0.11953673
113|3|17|2|25|1|1978||1992|C-||Other|Mall|Capital Mall|3600 Country Club Drive|Jefferson City|MO|65109|38.584236|-92.249512|550343|317266||64632.89896788|1|Goodrich|2.88639742|0.67|76050|147|147|8|46|0|49.6|11.03548962|0.2615559
114|7|179|2|48|1|1978|1998||B||Other|Mall|Capital|625 Black Lake Blvd|Olympia|WA|98502|47.041936|-122.929369|777076|481076||79625.93889062|1|Theater|11.622166|0.8838|234286|402.9|402.9|4|106|0|53.9|97.22673288|0.11953673
116|2|48|215|5|1|1972|||D||Inland Empire|Mall|Carousel Mall|295 Carousel Mall|San Bernardino|CA|92401|34.10841|-117.289703|971000|485500||65230.31087612|1||3.17530648|0.63|841509|100|100|||0|19.3|10.26515771|0.30932856
117|4|4|209|28|1|1979|2001|2006|C||Raleigh-Durham|Mall|Cary Towne Center|1105 Walnut Street|Cary|NC|27511|35.771429|-78.762861|897448|262108||89674.42981799|1|none|7.00996311|0.86816667|664196|279.3|279.3||154|6|84.8|31.91751198|0.21962749
118|4|35|2|48|1|1989|1999|1998|C||Other|Mall|Cascade Mall|201 Cascade Mall Drive|Burlington|WA|98233|48.46467|-122.338069|589000|265000||70278.14162483|1|AMC|4.7726432|0.69816667|93532|279.3|279.3|14|83|0|21|21.73062742|0.21962749
119|8|54|178|16|1|1972||2007|B+||Indianapolis|Mall|Castleton Square|6020 East 82nd Street|Indianapolis|IN|46250|39.905536|-86.064025|1384718|621689.85||76997.12331322|1|AMC|22.24224883|0.956|749577|427.45|427.45|14|139|3|78.6|213.56168704|0.10414906
120|12|62|186|5|1|1964|2002|2005|A++||Los Angeles|Mall|Century City|10250 Santa Monica Blvd|Los Angeles|CA|90067|34.060024|-118.419774|1369168.08|746447.56096306||80113.60906068|2|AMC - 50,000 sf|205.75055469|0.97506667|2561806|2942.5|2745|15|151|15|96.3|3734.76258979|0.05509067
121|3|26|206|39|1|1979|1999|1997|C-||Pittsburgh|Mall|Century III Mall|3075 Clairton Rd.|West Mifflin|PA|15123|40.338026|-79.937859|1193247|458780||63797.33401374|3|none|4.9340386|0.67|739378|147|147||132|3|43.7|18.86418392|0.2615559
122|3|286|2|39|1|1982||2004|C-||Other|Mall|Chambersburg Mall|3055 Black Gap Road|Chambersburg|PA|17202|39.955116|-77.575107|454337|193082||63745.83614278|1|Carmike|2.62739604|0.71|99830|191.1|191.1|7|56|0|34.3|10.04525626|0.2615559
123|3|4|2|36|1|1966|2004|1995|C-||Other|Mall|Chapel Hill Mall|2000 Britton Road|Akron|OH|44310|41.117404|-81.465743|864102|304060|10|57806.00524317|1|none|4.59838852|0.69|456923|210.7|210.7||110|2|35.9|17.58090152|0.2615559
124|6|60|2|6|1|1982||2006|B-||Other|Mall|Chapel Hills Mall|1710 Briargate Boulevard|Colorado Springs|CO|80920|38.945349|-104.795772|1207398|411959||77507.20122759|2|Carmike|9.53998851|0.77427083|502156|287.1|287.1|15|131|3|82.4|71.27798752|0.133842
125|4|16|2|50|1|1983||2004|C||Other|Mall|Charleston Town Center|3000 Charleston Town Center|Charleston|WV|25389|38.3697|-81.6706|892000|363000||55040.48857918|3|None|10.913287|0.84816667|139491|411.6|411.6||144|0|21.3|49.68998598|0.21962749
126|5|318|2|46|1|1980|1997|2002|C+||Other|Mall|Charlottesville Fashion Square|1600 Rio Road East|Charlottesville|VA|22901|38.079977|-78.473026|578206|260128.35||81570.11669908|1|none|4.71383775|0.765|136194|333.2|333.2||73|0|62.5|25.38555817|0.18568974
127|4|318|2|35|1|1971||1998|C||Other|Mall|Chautauqua Mall|318 East Fairmount Ave.|Lakewood|NY|14750|42.098387|-79.305532|435415|194818.95||48601.95384847|1|Dipson Cinema|5.41537059|0.82|59947|352.8|352.8|2|46|0|9.8|24.65707067|0.21962749
129|11|58|168|6|1|1990|1998|1998|A+||Denver|Mall|Cherry Creek|3000 East First Avenue|Denver|CO|80206|39.717934|-104.952069|1037000|634000||77480.91557522|2|Kerasotes Cherry Creek 8 Theater|55.91411456|0.95857895|1520347|1276.385|1030|8|160|6|94.7|911.60194742|0.06133611
130|5|4|2|15|1|1973|2001|2007|C+||Other|Mall|CherryVale Mall|77 Harrison Ave|Rockford|IL|61112|42.2489602|-88.9772855|862807|348221||58703.27833549|2|none|8.49211823|0.82|269246|295|295||150|0|39.9|45.73283442|0.18568974
131|3|26|196|46|1|1989||1992|C-||Norfolk / Hampton Roads|Mall|Chesapeake Square|4200 Portsmouth Blvd.|Chesapeake|VA|23321|36.8233|-76.415106|760597|268873||66068.96168456|1|Cinemark|4.52028946|0.72|405254|225.4|225.4|10|124|1|40.5|17.28230735|0.2615559
132|5|4|220|25|1|1976|2007|2006|C+||St. Louis|Mall|Chesterfield Mall|291 Chesterfield Mall|Chesterfield|MO|63017|38.649774|-90.563725|1264857|499048||101801.36598261|2|AMC Chesterfield 14|10.23102862|0.73571429|481934|284.2|284.2|14|157|4|83.9|55.09743567|0.18568974
133|7|35|210|46|1|1975|1994|2000|B||Richmond|Mall|Chesterfield Towne Center|11500 Midlothian Turnpike|Richmond|VA|23235|37.505715|-77.609197|1028503|484931||80534.81260503|1|none|11.7349715|0.8738|544402|397.8|397.8||138|2|78.1|98.17042188|0.11953673
134|7|17|216|5|1|1962||2012|B||San Diego|Mall|Chula Vista Center|555 Broadway|Chula Vista|CA|91910|32.629113|-117.088526|862620|321788||74522.17168279|2|Ultra Star Theater|7.343839|0.8838|1152220|443.7|443.7|10|91|0|30.1|61.435835|0.11953673
135|8|54|2|44|1|1975||2005|B+||Other|Mall|Cielo Vista|8401 Gateway Blvd. West|El Paso|TX|79925|31.773484|-106.380861|1244344|560411.55||47841.62599536|2|Cinemark|25.51316269|0.992|571168|648.9|580|14|142|0|17.7|244.96776866|0.10414906
136|7|54|178|16|1|1995||0|B||Indianapolis|Mall|Circle Centre|49 West Maryland Street|Indianapolis|IN|46204|39.765563|-86.159084|729839|328427.55||53191.11110073|4|United Artist Theatre|7.59803951|0.84|839266|316.2|316.2|9|102|1|22|63.56238227|0.11953673
137|4|117|2|6|1|1972|1997|1995|C||Other|Mall|Citadel Mall|750 Citadel Drive E|Colorado Springs|CO|80909|38.843496|-104.758975|1095053|453348||73654.83324156|2|None|10.93413844|0.76816667|588934|328.3|328.3||144|2|33|49.78492599|0.21962749
138|6|62|225|10|1|1999|1999||B-||Tampa-St. Petersburg|Mall|Citrus Park|8021 Citrus Park Town Center|Tampa|FL|33625|28.066627|-82.576655|1142049.79|503420.96649457||68468.08847443|1|Regal Cinemas|14.701755|0.92427083|687673|366.3|366.3|20|152|1|67.5|109.84410605|0.133842
141|7|37|196|46|1||||B||Norfolk / Hampton Roads|Mall|Peninsula Town Center|4410 East Clairborne Square|Hampton|VA|23666|37.0538822|-76.3984537|1112448|850000||64886.26142209|1|Cinebistro|29.83149353|0.8638|345558|433.5|433.5|7|65|0|32.8|249.55921753|0.11953673
142|7|54|2|16|1|1965||2005|B||Other|Mall|College Mall|2894 E. Third Street|Bloomington|IN|47401|39.164196|-86.4949816|609768|274615.2||54897.10204602|1|none|7.21092439|0.855|143899|357|357||86|0|52.3|60.32392066|0.11953673
143|4|4|2|43|1|1988|1988|1999|C||Other|Mall|College Square|2550 E. Morris Blvd.|Morristown|TN|37813|36.222425|-83.261303|450398|129921||47505.2427879|1|Carmike|3.24944997|0.91816667|82113|235.2|235.2|12|69|0|4.5|14.79527878|0.21962749
144|4|19|2|39|1|1960|1997|1990|C||Other|Mall|Colonial Park Mall|Route 22 & Colonial Road|Harrisburg|PA|17109|40.2898|-76.8258|738966|234610||70857.42555169|1|Colonial Park 4 Cinema|5.11786039|0.83816667|364104|235.2|235.2|4|95|0|36.8|23.30245792|0.21962749
145|3|17|2|36|1|1981||2006|C-||Other|Mall|Colony Square Mall|3575 Maple Avenue|Zanesville|OH|43701|39.988745|-82.023195|496954|359517||49331.9550212|1|Cinemark Colony Square Cinema 12|4.51467245|0.63|69243|249.9|249.9|12|71|0|10.7|17.260832|0.2615559
